author,title,text,lemmas
Dickens,Tale,"It was the best of times, it was the worst of times, it was the age of  wisdom, it was the age of foolishness, it was the epoch of belief, it  was the epoch of incredulity, it was the season of Light, it was the  season of Darkness, it was the spring of hope, it was the winter of  despair, we had everything before us, we had nothing before us, we were  all going direct to Heaven, we were all going direct the other way--in  short, the period was so far like the present period, that some of its  noisiest authorities insisted on its being received, for good or for  evil, in the superlative degree of comparison only.",good time bad time age wisdom age foolishness epoch belief epoch incredulity season light season darkness spring hope winter despair go direct heaven go direct way short period far like present period noisy authority insist receive good evil superlative degree comparison
Dickens,Tale,"There were a king with a large jaw and a queen with a plain face, on the  throne of England; there were a king with a large jaw and a queen with  a fair face, on the throne of France. In both countries it was clearer  than crystal to the lords of the State preserves of loaves and fishes,  that things in general were settled for ever.",king large jaw queen plain face throne england king large jaw queen fair face throne france country clear crystal lord state preserve loaf fish thing general settle
Dickens,Tale,"It was the year of Our Lord one thousand seven hundred and seventy-five.  Spiritual revelations were conceded to England at that favoured period,  as at this. Mrs. Southcott had recently attained her five-and-twentieth  blessed birthday, of whom a prophetic private in the Life Guards had  heralded the sublime appearance by announcing that arrangements were  made for the swallowing up of London and Westminster. Even the Cock-lane  ghost had been laid only a round dozen of years, after rapping out its  messages, as the spirits of this very year last past (supernaturally  deficient in originality) rapped out theirs. Mere messages in the  earthly order of events had lately come to the English Crown and People,  from a congress of British subjects in America: which, strange  to relate, have proved more important to the human race than any  communications yet received through any of the chickens of the Cock-lane  brood.",year lord thousand seven seventy spiritual revelation concede england favour period southcott recently attain twentieth bless birthday prophetic private life guards herald sublime appearance announce arrangement swallowing london westminster cock lane ghost lay round dozen year rap message spirit year past supernaturally deficient originality rap theirs mere message earthly order event lately come english crown people congress british subject america strange relate prove important human race communication receive chicken cock lane brood
Dickens,Tale,"France, less favoured on the whole as to matters spiritual than her  sister of the shield and trident, rolled with exceeding smoothness down  hill, making paper money and spending it. Under the guidance of her  Christian pastors, she entertained herself, besides, with such humane  achievements as sentencing a youth to have his hands cut off, his tongue  torn out with pincers, and his body burned alive, because he had not  kneeled down in the rain to do honour to a dirty procession of monks  which passed within his view, at a distance of some fifty or sixty  yards. It is likely enough that, rooted in the woods of France and  Norway, there were growing trees, when that sufferer was put to death,  already marked by the Woodman, Fate, to come down and be sawn into  boards, to make a certain movable framework with a sack and a knife in  it, terrible in history. It is likely enough that in the rough outhouses  of some tillers of the heavy lands adjacent to Paris, there were  sheltered from the weather that very day, rude carts, bespattered with  rustic mire, snuffed about by pigs, and roosted in by poultry, which  the Farmer, Death, had already set apart to be his tumbrils of  the Revolution. But that Woodman and that Farmer, though they work  unceasingly, work silently, and no one heard them as they went about  with muffled tread: the rather, forasmuch as to entertain any suspicion  that they were awake, was to be atheistical and traitorous.",france favour matter spiritual sister shield trident roll exceed smoothness hill make paper money spend guidance christian pastor entertain humane achievement sentence youth hand cut tongue tear pincer body burn alive kneel rain honour dirty procession monk pass view distance yard likely root wood france norway grow tree sufferer death mark woodman fate come sawn board certain movable framework sack knife terrible history likely rough outhouse tiller heavy land adjacent paris shelter weather day rude cart bespatter rustic mire snuff pig roost poultry farmer death set apart tumbril revolution woodman farmer work unceasingly work silently hear go muffled tread forasmuch entertain suspicion awake atheistical traitorous
Dickens,Tale,"In England, there was scarcely an amount of order and protection to  justify much national boasting. Daring burglaries by armed men, and  highway robberies, took place in the capital itself every night;  families were publicly cautioned not to go out of town without removing  their furniture to upholsterersâ warehouses for security; the highwayman  in the dark was a City tradesman in the light, and, being recognised and  challenged by his fellow-tradesman whom he stopped in his character of  âthe Captain,â gallantly shot him through the head and rode away; the  mail was waylaid by seven robbers, and the guard shot three dead, and  then got shot dead himself by the other four, âin consequence of the  failure of his ammunition:â after which the mail was robbed in peace;  that magnificent potentate, the Lord Mayor of London, was made to stand  and deliver on Turnham Green, by one highwayman, who despoiled the  illustrious creature in sight of all his retinue; prisoners in London  gaols fought battles with their turnkeys, and the majesty of the law  fired blunderbusses in among them, loaded with rounds of shot and ball;  thieves snipped off diamond crosses from the necks of noble lords at  Court drawing-rooms; musketeers went into St. Gilesâs, to search  for contraband goods, and the mob fired on the musketeers, and the  musketeers fired on the mob, and nobody thought any of these occurrences  much out of the common way. In the midst of them, the hangman, ever busy  and ever worse than useless, was in constant requisition; now, stringing  up long rows of miscellaneous criminals; now, hanging a housebreaker on  Saturday who had been taken on Tuesday; now, burning people in the  hand at Newgate by the dozen, and now burning pamphlets at the door of  Westminster Hall; to-day, taking the life of an atrocious murderer,  and to-morrow of a wretched pilferer who had robbed a farmerâs boy of  sixpence.",england scarcely order protection justify national boasting dare burglary armed man highway robbery take place capital night family publicly caution town remove furniture warehouse security highwayman dark city tradesman light recognise challenge fellow tradesman stop character captain gallantly shoot head ride away mail waylay seven robber guard shoot dead get shoot dead consequence failure ammunition mail rob peace magnificent potentate lord mayor london stand deliver turnham green highwayman despoil illustrious creature sight retinue prisoner london gaol fight battle turnkey majesty law fire blunderbuss load round shot ball thief snip diamond crosse neck noble lord court drawing room musketeer go search contraband good mob fire musketeer musketeer fire mob think occurrence common way midst hangman busy bad useless constant requisition string long row miscellaneous criminal hang housebreaker saturday take tuesday burn people hand newgate dozen burn pamphlet door westminster hall day take life atrocious murderer morrow wretched pilferer rob boy sixpence
Dickens,Tale,"All these things, and a thousand like them, came to pass in and close  upon the dear old year one thousand seven hundred and seventy-five.  Environed by them, while the Woodman and the Farmer worked unheeded,  those two of the large jaws, and those other two of the plain and the  fair faces, trod with stir enough, and carried their divine rights  with a high hand. Thus did the year one thousand seven hundred  and seventy-five conduct their Greatnesses, and myriads of small  creatures--the creatures of this chronicle among the rest--along the  roads that lay before them.",thing thousand like come pass close dear old year thousand seven seventy environ woodman farmer work unheeded large jaw plain fair face trod stir carry divine right high hand year thousand seven seventy conduct greatness myriad small creature creature chronicle rest road lie
Dickens,Tale,"  It was the Dover road that lay, on a Friday night late in November,  before the first of the persons with whom this history has business.  The Dover road lay, as to him, beyond the Dover mail, as it lumbered up  Shooterâs Hill. He walked up hill in the mire by the side of the mail,  as the rest of the passengers did; not because they had the least relish  for walking exercise, under the circumstances, but because the hill,  and the harness, and the mud, and the mail, were all so heavy, that the  horses had three times already come to a stop, besides once drawing the  coach across the road, with the mutinous intent of taking it back  to Blackheath. Reins and whip and coachman and guard, however, in  combination, had read that article of war which forbade a purpose  otherwise strongly in favour of the argument, that some brute animals  are endued with Reason; and the team had capitulated and returned to  their duty.",dover road lay friday night late november person history business dover road lay dover mail lumber hill walk hill mire mail rest passenger relish walk exercise circumstance hill harness mud mail heavy horse time come stop draw coach road mutinous intent take blackheath rein whip coachman guard combination read article war forbid purpose strongly favour argument brute animal endue reason team capitulate return duty
Dickens,Tale,"With drooping heads and tremulous tails, they mashed their way through  the thick mud, floundering and stumbling between whiles, as if they were  falling to pieces at the larger joints. As often as the driver rested  them and brought them to a stand, with a wary âWo-ho! so-ho-then!â the  near leader violently shook his head and everything upon it--like an  unusually emphatic horse, denying that the coach could be got up the  hill. Whenever the leader made this rattle, the passenger started, as a  nervous passenger might, and was disturbed in mind.",droop head tremulous tail mash way thick mud flounder stumble while fall piece large joint driver rest bring stand wary ho ho near leader violently shake head like unusually emphatic horse deny coach get hill leader rattle passenger start nervous passenger disturb mind
Dickens,Tale,"There was a steaming mist in all the hollows, and it had roamed in its  forlornness up the hill, like an evil spirit, seeking rest and finding  none. A clammy and intensely cold mist, it made its slow way through the  air in ripples that visibly followed and overspread one another, as the  waves of an unwholesome sea might do. It was dense enough to shut out  everything from the light of the coach-lamps but these its own workings,  and a few yards of road; and the reek of the labouring horses steamed  into it, as if they had made it all.",steaming mist hollow roam forlornness hill like evil spirit seek rest find clammy intensely cold mist slow way air ripple visibly follow overspread wave unwholesome sea dense shut light coach lamp working yard road reek labour horse steam
Dickens,Tale,"Two other passengers, besides the one, were plodding up the hill by the  side of the mail. All three were wrapped to the cheekbones and over the  ears, and wore jack-boots. Not one of the three could have said, from  anything he saw, what either of the other two was like; and each was  hidden under almost as many wrappers from the eyes of the mind, as from  the eyes of the body, of his two companions. In those days, travellers  were very shy of being confidential on a short notice, for anybody on  the road might be a robber or in league with robbers. As to the latter,  when every posting-house and ale-house could produce somebody in  âthe Captainâsâ pay, ranging from the landlord to the lowest stable  non-descript, it was the likeliest thing upon the cards. So the guard  of the Dover mail thought to himself, that Friday night in November, one  thousand seven hundred and seventy-five, lumbering up Shooterâs Hill, as  he stood on his own particular perch behind the mail, beating his feet,  and keeping an eye and a hand on the arm-chest before him, where a  loaded blunderbuss lay at the top of six or eight loaded horse-pistols,  deposited on a substratum of cutlass.",passenger plod hill mail wrap cheekbone ear wear jack boot say see like hide wrapper eye mind eye body companion day traveller shy confidential short notice anybody road robber league robber posting house ale house produce somebody pay range landlord low stable non descript likeli thing card guard dover mail think friday night november thousand seven seventy lumber hill stand particular perch mail beat foot keep eye hand arm chest load blunderbuss lie loaded horse pistol deposit substratum cutlass
